Reference,Qty,Type,Value,Notes,
"C1,C2,C3,C4,C5,C6",6,polystyrene,470p,,
"C7,C9",2,"ceramic, 12V, Z5U",100n,,
C8,1,"electrolytic, 10V",1000u,,
"C10,C11",2,"electrolytic, 6V",220u,,
"D1,D2",2,,1N4148,,
P1,1,RCA Keystone 571,,,
Q1,1,,PN2907,,
Q2,1,,PN2222,,
Q3,1,,92PU01,Alternative:,BD135-10
Q4,1,,92PU51,Alternative:,BD136-10
"R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13",13,"Carbon, 0.25W",51K,Matched to 1%,
R14,1,"Carbon, 0.25W",390K,,
"R15,R16,R17,R38",4,"Carbon, 0.25W",820K,,
"R18,R19,R23,R24,R25,R26,R28,R30,R31,R32,R33,R37",12,"Carbon, 0.25W",100K,,
"R20,R22",2,"Carbon, 0.25W",130K,,
"R21,R34,R36,R45",4,"Carbon, 0.25W",240K,,
R27,1,"Carbon, 0.25W",680K,,
R29,1,"Carbon, 0.25W",220K,,
R35,1,"Carbon, 0.25W",180K,,
"R39,R40",2,"Carbon, 0.25W",10K,,
"R41,R43",2,"Carbon, 0.25W",100R,,
R42,1,"Carbon, 0.25W",1K,,
R44,1,"Carbon, 0.25W",10R,,
R46,1,"Carbon, 0.25W",2R7,,
R47,1,Piher PT15NH06,1M,Alternative:,16PMI-1MSR PASSIVES
"U1,U2",2,,CD4050,,
"U3,U4",2,,CD4069,,
